"Wijken";"totaal aantal inwoners|2010";"totaal aantal inwoners|2011";"totaal aantal inwoners|2012";"totaal aantal inwoners|2013";"totaal aantal inwoners|2014";"totaal aantal inwoners|2015";"totaal aantal inwoners|2016";"totaal aantal inwoners|2017";"totaal aantal inwoners|2018";"totaal aantal inwoners|2019";"totaal aantal inwoners|2020";"totaal aantal inwoners|2021"
"West";27113;27259;27351;27689;28062;28554;29052;29295;29357;29421;29274;29258
"Noordwest";40703;40862;41219;42094;43389;43849;43340;43216;43803;44579;45270;44925
"Overvecht";31570;31422;31274;31563;32231;33732;34239;34253;34261;34293;34299;34152
"Noordoost";35752;36059;36544;37223;37450;37624;38001;38502;38934;39282;39693;39510
"Oost";29967;30452;30692;31071;31878;32165;32932;32970;32893;32529;32128;32203
"Binnenstad";16596;16703;16813;16989;17383;17571;17872;17932;18134;18989;19412;19581
"Zuid";26058;26153;26304;26417;26669;27200;27043;27163;27338;27772;27911;27769
"Zuidwest";35291;35821;36035;36337;36909;37263;37340;37735;38001;38428;38628;38672
"Leidsche Rijn";24034;25321;26708;27763;28711;30084;32342;34267;36544;38859;41309;42783
"Vleuten-De Meern";40040;41353;43337;44854;45594;46253;46825;47801;48309;48789;49795;50502
